年,性別,平均値等,年齢計,20_24歳,25_29歳,30_34歳,35_39歳,40_44歳,45_49歳,50_54歳,55_59歳,60_64歳,65_69歳
2012,女性,第３四分位数,268,212.9,246.9,266,284.6,306.1,309.6,303,285.8,231,229.5
2012,女性,第９十分位数,345.2,241.5,283.3,315.8,350.9,379.1,402.2,405.5,396,344,350.9
2012,女性,十分位分散係数,0.48,0.26,0.31,0.36,0.44,0.49,0.57,0.61,0.63,0.64,0.72
2012,女性,四分位分散係数,0.23,0.13,0.16,0.18,0.22,0.27,0.31,0.32,0.31,0.26,0.28
2013,男性,平均値,326,200.7,236.5,275.2,314.5,357.3,397.6,417.7,394.8,281.1,263.7
2013,男性,第１十分位数,177.6,155.2,172.2,186.8,200.5,208.4,210.5,208.2,189.2,151,133.6
2013,男性,第１四分位数,219.7,175.9,200.2,222,243.1,264.9,278.3,282.3,261.6,181.2,160.5
2013,男性,中位数,286.6,198.5,229.6,261.6,295.1,332.3,362.5,382.6,362.9,229.1,204.5
2013,男性,第３四分位数,387.2,220,262.3,309.5,361.8,417.4,474.7,506.8,482.9,317.2,280.9
2013,男性,第９十分位数,517.5,248.3,304.4,372.9,439.1,525.9,615.4,658,621.5,463.3,444
2013,男性,十分位分散係数,0.59,0.23,0.29,0.36,0.4,0.48,0.56,0.59,0.6,0.68,0.76
2013,男性,四分位分散係数,0.29,0.11,0.14,0.17,0.2,0.23,0.27,0.29,0.31,0.3,0.29
2013,女性,平均値,232.6,190.4,215.2,230.5,244.6,249.8,256.9,254.2,245.2,209,208.1
2013,女性,第１十分位数,141.1,144.5,151.9,149.8,147.5,143.7,141.8,138.8,133.9,122,117.7
2013,女性,第１四分位数,169.4,164.7,179.7,181.4,181.2,177,172.6,167.2,160.7,141.5,138.1
2013,女性,中位数,210.4,187.7,210.7,220.4,230.3,231,226.4,219.7,208.6,172.7,169.7
2013,女性,第３四分位数,267.7,212.6,243,265.1,286.4,298.2,310.4,305.6,295.6,229.8,233.7
2013,女性,第９十分位数,345.1,239.1,279.3,316.8,349.5,369,400.7,406.7,406.1,335.2,341.7
2013,女性,十分位分散係数,0.48,0.25,0.3,0.38,0.44,0.49,0.57,0.61,0.65,0.62,0.66
2013,女性,四分位分散係数,0.23,0.13,0.15,0.19,0.23,0.26,0.3,0.32,0.32,0.26,0.28
2014,男性,平均値,329.6,202.5,238.2,276.3,316.8,355,400.4,422.6,406.1,284.7,268.6
2014,男性,第１十分位数,180.6,157,174.1,187.3,201.2,210,216.1,216.1,197.1,155.4,140.8
2014,男性,第１四分位数,223.2,178.3,203.2,223.4,245.4,263.8,283.1,290.7,269.7,185.5,167.5
